12S ribosomal RNA,16S ribosomal RNA,APOB,ATP6,ATP8,ApoB,BDNF,BRCA1,COI,COX1,COX2,COX3,CYTB,Cytb,GHR,Ghr,NADH2,ND1,ND2,ND3,ND4,ND4L,ND5,ND6,RAG1,RAG2,Rag1,Rag2,apoB,apoB-100,apob,apolipoprotein B,bdnf,brca1,breast cancer susceptibility 1,cytb,cytochrome b,cytochrome c oxidase subunit I,growth hormone receptor,l-rRNA,large subunit ribosomal RNA,nad2,rag1,rag2,recombination activating protein 2,rrn12,rrn16,rrnl,rrns,s-rRNA,small subunit ribosomal RNA,SNL
['12S_rRNA'],['16S_rRNA'],['APOB'],['ATP6'],['ATP8'],['APOB'],['BDNF'],['BRCA1'],['COX1'],['COX1'],['COX2'],['COX3'],['CYTB'],['CYTB'],['GHR'],['GHR'],['ND2'],['ND1'],['ND2'],['ND3'],['ND4'],['ND4L'],['ND5'],['ND6'],['RAG1'],['RAG2'],['RAG1'],['RAG2'],['APOB'],['APOB'],['APOB'],['APOB'],['BDNF'],['BRCA1'],['BRCA1'],['CYTB'],['CYTB'],['COX1'],['GHR'],['16S_rRNA'],['16S_rRNA'],['ND2'],['RAG1'],['RAG2'],['RAG2'],['12S_rRNA'],['16S_rRNA'],['16S_rRNA'],['12S_rRNA'],['12S_rRNA'],['12S_rRNA'],[]
