Species,Genus,Sub-family,Family,Order
chinga,Conepatus,Mephitinae,Mephitidae,Carnivora
leuconotus,Conepatus,Mephitinae,Mephitidae,Carnivora
semistriatus,Conepatus,Mephitinae,Mephitidae,Carnivora
barabensis,Cricetulus,Cricetinae,Cricetidae,Rodentia
griseus,Cricetulus,Cricetinae,Cricetidae,Rodentia
platycephalus,Crossarchus,Mungotinae,Herpestidae,Carnivora
celebensis,Crunomys,Murinae,Muridae,Rodentia
fallax,Crunomys,Murinae,Muridae,Rodentia
melanius,Crunomys,Murinae,Muridae,Rodentia
ochraceiventer,Crunomys,Murinae,Muridae,Rodentia
leucodon,Ctenomys,Ctenomyinae,Ctenomyidae,Rodentia
sociabilis,Ctenomys,Ctenomyinae,Ctenomyidae,Rodentia
torquatus,Ctenomys,Ctenomyinae,Ctenomyidae,Rodentia
taczanowskii,Cuniculus,Cuniculinae,Cuniculidae,Rodentia
alpinus,Cuon,Caninae,Canidae,Carnivora
didactylus,Cyclopes,Cyclopedinae,Cyclopedidae,Pilosa
penicillata,Cynictis,Herpestinae,Herpestidae,Carnivora
abrasus,Cynomops,Molossinae,Molossidae,Chiroptera
mexicanus,Cynomops,Molossinae,Molossidae,Chiroptera
brachyotis,Cynopterus,Pteropodinae,Pteropodidae,Chiroptera
sphinx,Cynopterus,Pteropodinae,Pteropodidae,Chiroptera
choprae,Danio,Cyprininae,Cyprinidae,Cypriniformes
madagascariensis,Daubentonia,Daubentoniinae,Daubentoniidae,Primates
dorsalis,Dendrohyrax,Procaviinae,Procaviidae,Hyracoidea
interfluvialis,Dendrohyrax,Procaviinae,Procaviidae,Hyracoidea
sumatrensis,Dicerorhinus,Rhinocerotinae,Rhinocerotidae,Perissodactyla
bicornis,Diceros,Rhinocerotinae,Rhinocerotidae,Perissodactyla
tajacu,Dicotyles,Tayassuinae,Tayassuidae,Artiodactyla
hudsonius,Dicrostonyx,Cricetinae,Cricetidae,Rodentia
torquatus,Dicrostonyx,Cricetinae,Cricetidae,Rodentia
megalotis,Dorcatragus,Bovinae,Bovidae,Artiodactyla
everetti,Dremomys,Sciurinae,Sciuridae,Rodentia
gularis,Dremomys,Sciurinae,Sciuridae,Rodentia
lokriah,Dremomys,Sciurinae,Sciuridae,Rodentia
pyrrhomerus,Dremomys,Sciurinae,Sciuridae,Rodentia
rufigenis,Dremomys,Sciurinae,Sciuridae,Rodentia
carolinenis,Dumetella,Miminae,Mimidae,Passeriformes
carolinensis,Dumetella,Miminae,Mimidae,Passeriformes
alba,Ectophylla,Phyllostominae,Phyllostomidae,Chiroptera
cephalophus,Elaphodus,Cervinae,Cervidae,Artiodactyla
sibiricum,Elasmotherium,Rhinocerotinae,Rhinocerotidae,Perissodactyla
brachyrhynchus,Elephantulus,Macroscelidinae,Macroscelididae,Macroscelidea
myurus,Elephantulus,Macroscelidinae,Macroscelididae,Macroscelidea
minor,Eliurus,Nesomyinae,Nesomyidae,Rodentia
webbi,Eliurus,Nesomyinae,Nesomyidae,Rodentia
luteus,Eolagurus,Cricetinae,Cricetidae,Rodentia
spelaea,Eonycteris,Pteropodinae,Pteropodidae,Chiroptera
baileyi,Eospalax,Spalacinae,Spalacidae,Rodentia
cansus,Eospalax,Spalacinae,Spalacidae,Rodentia
fontanierii,Eospalax,Spalacinae,Spalacidae,Rodentia
smithii,Eospalax,Spalacinae,Spalacidae,Rodentia
cachinus,Eothenomys,Arvicolinae,Cricetidae,Rodentia
olitor,Eothenomys,Arvicolinae,Cricetidae,Rodentia
setchuanus,Eozapus,Dipodinae,Dipodidae,Rodentia
areolatus,Epinephelus,Epinephelinae,Serranidae,Perciformes
crypturus,Epomophorus,Rousettinae,Pteropodidae,Chiroptera
gambianus,Epomophorus,Rousettinae,Pteropodidae,Chiroptera
minimus,Epomophorus,Rousettinae,Pteropodidae,Chiroptera
minor,Epomophorus,Rousettinae,Pteropodidae,Chiroptera
wahlbergi,Epomophorus,Rousettinae,Pteropodidae,Chiroptera
buettikoferi,Epomops,Pteropodinae,Pteropodidae,Chiroptera
dobsonii,Epomops,Pteropodinae,Pteropodidae,Chiroptera
franqueti,Epomops,Pteropodinae,Pteropodidae,Chiroptera
